id,lon,lat,srv_school,srv_pharmacy,srv_university,srv_mall
mp/w450002145,19.4986114,51.7342450,1,0,0,0
mp/w450107872,19.4956407,51.7300492,1,0,0,0
mp/w450110018,19.4926798,51.7309758,1,0,0,0
mp/w450131804,19.4903220,51.7359315,1,0,0,0
mp/w450808536,19.4231258,51.7748412,1,0,0,0
mp/w450808542,19.4280782,51.7783851,1,0,0,0
mp/w451515337,19.4910271,51.7773947,1,0,0,0
mp/w453591141,19.4922779,51.7729881,1,0,0,0
mp/w454588141,19.4357690,51.7956985,1,0,0,0
mp/w456154202,19.4662587,51.7462413,1,0,0,0
mp/w456202123,19.4659254,51.7428475,1,0,0,0
mp/w462362916,19.4710211,51.7466040,1,0,0,0
mp/w462400851,19.4566251,51.7389291,1,0,0,0
mp/w463896450,19.4817977,51.8057001,1,0,0,0
mp/w466418130,19.4753738,51.7442735,1,0,0,0
mp/w467727234,19.2918348,51.8106108,1,0,0,0
mp/w469364841,19.3107146,51.8158863,1,0,0,0
mp/w470592985,19.3044681,51.8172115,1,0,0,0
mp/w470952267,19.3094776,51.8204036,1,0,0,0
mp/w471117359,19.3021198,51.8219140,1,0,0,0
mp/w471126975,19.3039919,51.8224832,1,0,0,0
mp/w471711862,19.2813113,51.8347055,1,0,0,0
mp/w472125169,19.4476205,51.7370484,1,0,0,0
mp/w473984231,19.4530320,51.7557865,1,0,0,0
mp/w474131928,19.4528128,51.7561291,1,0,0,0
mp/w474685696,19.4463680,51.7114336,1,0,0,0
mp/w475509064,19.4609570,51.7606066,1,0,0,0
mp/w481851283,19.4458026,51.7322498,1,0,0,0
mp/w481851309,19.4457028,51.7298937,1,0,0,0
mp/w482812380,19.5532387,51.7086908,1,0,0,0
mp/w483293616,19.4956348,51.6598291,1,0,0,0
mp/w483534796,19.5036020,51.7650606,1,0,0,0
mp/w493445030,19.4344036,51.7961759,1,0,0,0
mp/w494829593,19.2431702,51.6347716,1,0,0,0
mp/w499094684,19.3225040,51.7513342,1,0,0,0
mp/w499128954,19.4735562,51.8100336,1,0,0,0
mp/w499242220,19.3253344,51.7495808,1,0,0,0
mp/w500081399,19.3537974,51.7477099,1,0,0,0
mp/w500436118,19.3281318,51.7462137,1,0,0,0
mp/w500642500,19.4397506,51.7969740,1,0,0,0
mp/w501000223,19.3147339,51.7481022,1,0,0,0
