hex_id,population,single_par,income_idx,hh_single,hh_size,osiedle
363,376.91,13.5139,3068.8148,9.4674,3.4576,Nowosolna
364,153.21,14.9929,3056.6,15.589,3.3092,Nowosolna
365,125.42,16.3086,3051.9182,10.4884,3.8561,Nowosolna
366,115.17,13.0579,3031.777,13.4685,3.5178,Mileszki
367,128.84,14.2599,3027.0671,12.4018,3.5187,Mileszki
368,205.65,23.0641,3021.5867,12.092,3.5044,Andrzejów
369,606.38,23.5869,3025.1018,13.7125,3.5599,Andrzejów
370,212.8,25.1194,3051.8409,19.263,3.0495,Nr 33
371,158.95,17.0764,3010.4,10.274,3.5306,Andrzejów
372,154.84,16.5995,3003.7788,11.2268,3.5024,Andrzejów
373,163.84,13.5,2990.3,11.4,3.54,Wiskitno
374,45.02,13.5,2990.3,11.4,3.54,
375,57.06,15.401,3069.3,10.302,3.2831,
376,231.74,14.2442,3069.3,8.2634,3.5308,Nowosolna
377,136.86,14.1851,3064.1268,12.255,3.3619,Nowosolna
378,69.11,14.6,3056.6,16.7,3.19,Nowosolna
379,55.3,13.1,3031.7,13.6,3.52,
380,121.71,14.1319,3021.5877,10.5732,3.5372,Mileszki
381,292.54,16.383,3003.6139,5.3545,3.5547,Andrzejów
382,1000.21,17.0092,3004.4353,10.3684,3.6423,Andrzejów
383,1126.52,20.1745,3016.4846,14.9568,3.3005,Andrzejów
384,304.32,21.9796,3010.4889,21.9544,2.9689,Andrzejów
385,137.39,20.0,3010.4,12.7,3.4,Andrzejów
386,113.18,17.7687,3003.5001,12.2537,3.4481,Andrzejów
387,38.85,13.5,2990.3,11.4,3.54,
388,5.83,13.1,3031.7,13.6,3.52,
389,15.88,16.1,3002.3,4.8,3.57,
390,386.89,14.4891,3002.3,6.7195,3.379,Andrzejów
391,744.28,15.7311,3002.3181,14.4436,3.4236,Andrzejów
392,409.33,21.5065,3009.58,14.3087,3.4174,Andrzejów
393,164.89,18.6748,3010.4,12.111,3.5104,Andrzejów
394,21.51,20.0,3010.4,12.7,3.4,
395,33.33,12.4,3002.3,5.7,3.31,
