hex_id,population,income_index_pln,fam_pct_matki_samotne,n_obwody
902,617.0,3054.2,25.861588330632088,4
903,1491.0,3022.1999999999994,25.66706908115358,9
904,951.0,3011.8,29.82702418506835,6
905,327.0,3030.0,11.640672782874617,2
915,158.0,2980.5,21.6,1
921,638.0,3051.8,16.4,1
925,4.0,3051.8,,1
928,414.0,3058.6999999999994,20.2,1
929,206.0,3023.1,12.9,1
931,346.0,3086.0,26.256647398843928,2
932,683.0,3086.0,30.50688140556369,5
933,141.0,3059.6,37.00921985815602,2
934,318.0,3059.6,11.4,1
937,311.0,3104.2,7.5,1
943,429.0,3060.0,16.0,1
945,151.0,3034.1,27.1,1
955,150.0,2980.5,15.6,1
961,302.0,3051.8,14.1,1
963,277.0,3058.7,16.3,1
965,218.0,3023.0999999999995,24.300000000000004,1
966,496.0,3023.1,18.151814516129033,2
968,229.0,3086.0,22.7,1
969,83.0,3059.6,23.8,1
970,968.0,3053.905991735537,19.2801652892562,4
971,1551.0,3067.4359767891683,18.7434558349452,7
972,657.0,3063.5,16.96301369863014,3
975,136.0,3054.2,26.7,1
976,111.0,3022.1999999999994,21.2,1
978,542.0,3030.0,20.6,1
989,277.0,2980.5,24.7,1
999,735.0,3058.7,18.865578231292517,2
1000,408.0,3058.7,18.7,1
1001,298.0,3023.1,15.300000000000002,1
1002,1205.0,3039.2467219917007,31.40680497925311,7
1003,372.0,3032.2854838709677,21.72795698924731,2
1005,153.0,3086.0,22.0,1
1006,1170.0,3035.5029059829058,21.321282051282054,7
1007,3909.0,3038.277283192632,23.7486057815298,17
1008,2828.0,3059.3170792079204,19.639568599717116,12
1010,523.0,3104.2,0.0,1
1016,127.0,3028.2,15.8,1
1019,264.0,2990.3,16.5,1
1021,349.0,2990.3,12.700000000000001,1
1035,427.0,3051.8,20.5,1
1036,403.0,3051.8,12.0,1
1037,323.0,3051.8,14.800000000000002,1
1038,761.0,3043.2400788436266,32.07043363994744,5
1039,738.0,3043.263821138211,28.45379403794038,4
1040,160.0,3031.7,25.0,1
1041,85.0,3010.4,21.7,1
1042,3978.0,3024.0853192559075,25.247536450477625,15
1043,3289.0,3049.0911219215564,23.024475524475523,17
1044,204.0,3063.5,25.9,1
1047,68.0,3054.2,28.6,1
1053,261.0,3028.2,15.2,1
1064,273.0,2980.5,10.0,1
1067,332.0,3051.8,24.5,1
